# bench/inline-budget.txt — the per-port inline-budget ledger (issue #25; BENCH-STANDARD.md §4.3)
#
# One line per guarded (lang, bench, path, opt) leg: the maximum HOT runtime
# calls per op the verdict pass may report — §4.2's partial:N, with full = 0.
# The gate (bench/tools/inline-gate.sh) recomputes the verdict from the
# current tree and FAILS on any leg whose hot count exceeds its budget, or
# whose verdict is unknown/none/absent — a gate cannot pass on a shrug.
#
# It fails on REGRESSION, not on absolute badness (§4.3): a leg already
# partial:14 is pinned at 14 so it cannot become 15 while nobody looks.
# Improving a budget is a deliberate edit to this file in the same commit as
# the improvement — that edit IS the record the improvement happened.
# Accepted deliberately (issue #25): the gate also fires on compiler-version
# changes, and telling a regression from a new compiler apart is manual.
#
# Seeded 2026-08-15 from the current-era, zero-unknown studio passes:
#   O3 + default rows: results/2026-08-15-arm64-studio-postlane-O3-pass.csv (schema 695fde3)
#   O2 rows:           results/2026-08-15-arm64-studio-O2-pass.csv          (schema c19cdb3)
# Both post-7db74ef (verdicts trustworthy) — never seed budgets from a
# pre-7db74ef artifact; see the era headers issue #20 stamped.
#
# The §1.2 example-corpus rows left this ledger with the harness code that
# produced them (2026-08-31): the ruling on #199 leaves ONE bench corpus,
# Bench.schema, so rigidbody_moving / rigidbody_at_rest / chat / test /
# inputpacket / shipcreate / probe_header / probebits / probearray /
# testdata / real_packet no longer exist as rows in any runner. A budget
# line for a leg that produces no verdict FAILS the gate as a vanished
# verdict — leaving them would have red-lit CI, exactly as the bench_mixed
# lines did on #199.
#
# bench_mixed carries NO budget line in any language, deliberately (2026-08-31).
# Its verdicts came from family rt's noinline `rt_bench_mixed_*_loop` symbols;
# rt is retired (schema#196) and the data-driven driver that replaced it has no
# noinline loop symbol and no BENCH_MAP attribution, so the verdict pass emits
# nothing for it and the row carries inline=unknown — correctly un-ratioable
# under §5.3 rule 7. A budget line for a leg with no verdict source is exactly
# the shrug this gate refuses: it fails as "a vanished verdict", which is a
# false alarm about the fence rather than about the code. bench_mixed becomes
# guarded again when the verdict pass learns to attribute the data-driven
# loops (the named follow-on on #177); until then it is an UNGUARDED leg and
# the gate says so as a WARN, which is the honest state.
#
# lang bench path opt max-hot
cpp bitpacker write O3 0
cpp bitpacker read O3 0
c bitpacker write O3 0
c bitpacker read O3 0
rust bitpacker write O3 0
rust bitpacker read O3 0
cs bitpacker write default 13
cs bitpacker read default 22
go bitpacker write default 1
go bitpacker read default 1
cpp bitpacker write O2 0
cpp bitpacker read O2 0
c bitpacker write O2 0
c bitpacker read O2 0
