leg	item_id	status	evidence_path	assertion_or_counterexample	gate_run	lane_state	note
go	L1-L7	weak	internal/codegen/gotable/fixedlayout_test.go:31	t.Skip("retired by docs/FIXED-FORM-ALGORITHM.md §5.6; the seven rules are the lock's validation now")	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	seven rules implemented in fixedruntime.go (plan-compile of lock bytes) but runtime walk of a stranger's layout is retired §5.6; the only test skips itself, not run by §6 gate
go	F1	weak	internal/codegen/gotable/fixedform_test.go:187	if n := PointFixedLoad(got, wrong, plan, &r); n >= 0 || r.Reason != want || r.Verdict != TableOpenRefused || r.Malformed	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	form byte 1 -> previous_form asserted in TestFixedFormRoundTrip (map :177-183), not run by §6 gate
go	F2	weak	internal/codegen/gotable/fixedform_test.go:187	if n := PointFixedLoad(got, wrong, plan, &r); n >= 0 || r.Reason != want || r.Verdict != TableOpenRefused || r.Malformed	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	form byte 2 -> message_form_as_file asserted in TestFixedFormRoundTrip (map :177-183), not run by §6 gate
go	F3	weak	internal/codegen/gotable/fixedform_test.go:187	if n := PointFixedLoad(got, wrong, plan, &r); n >= 0 || r.Reason != want || r.Verdict != TableOpenRefused || r.Malformed	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	form byte 0/4/0xFF -> newer_form asserted in TestFixedFormRoundTrip (map :177-183), not run by §6 gate
go	F4	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	20+L>len -> layout_malformed implemented (fixedform.go:754) but no assertion anywhere at head
go	F5	implemented-asserted	internal/codegen/gotable/fixedversioning_test.go:352	if n != -1 || r.Reason != "layout_malformed" || r.Malformed	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	TestHashKnownBytesDiffer (run via TestFixedVersioningHash) asserts known-hash-different-bytes -> layout_malformed
go	F6	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	§5.3 inverts the order (hash selected first, layout byte-compared never walked); #876's "hash checked last" has no assertion at head
go	F7	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	sub-20-byte file -> malformed: no assertion anywhere at head
go	F8	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	ragged tail -> malformed: no assertion anywhere at head
go	F9	owed	-	-	make tables-go-fixed-form tables-go-versioning -> "tables Go fixed form: the layout and the whole 80915-byte file match the C++ reference, byte for byte" / "tables Go versioning: §5 read both columns of every row against the C++ reference bytes"	merged-on-lane	batch_too_large implemented (fixedform.go:794) but no assertion anywhere at head
