leg	item_id	reconciled_status	baseline_status	evidence_path	assertion_or_counterexample	receipt_or_gate	notes
cpp	L1-L7	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:419	refuses( f, tblfx1::layout_malformed, "RULE: the entry count fits the layout length exactly - known hash, layout_malformed" )	G-CPP	all twelve breaks, one per named rule, each under the one name; run by the gate
cpp	F1	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:305	check( bad < 0 && r4.refused && r4.reason == rows[i].want, rows[i].what )	G-CPP	rows[] = previous_form / message_form_as_file / newer_form, plus "a form-byte refusal moves no counter"
cpp	F2	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:305	check( bad < 0 && r4.refused && r4.reason == rows[i].want, rows[i].what )	G-CPP	rows[] = previous_form / message_form_as_file / newer_form, plus "a form-byte refusal moves no counter"
cpp	F3	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:305	check( bad < 0 && r4.refused && r4.reason == rows[i].want, rows[i].what )	G-CPP	rows[] = previous_form / message_form_as_file / newer_form, plus "a form-byte refusal moves no counter"
cpp	F4	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:526	refuses( f, tblfx1::layout_malformed, "RULE: fewer bytes than a header is layout_malformed" )	G-CPP	
cpp	F5	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:322	check( bad < 0 && r6.refused && r6.reason == tblfx1::layout_newer, "REFUSED BY NAME: a header hash this reader has never locked is layout_newer" )	G-CPP	
cpp	F6	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:334	check( bad < 0 && r5.refused && r5.reason == tblfx1::layout_newer, "REFUSED BY NAME: a newer hash is refused before a plan is compiled" )	G-CPP	
cpp	F7	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:526	refuses( f, tblfx1::layout_malformed, "RULE: fewer bytes than a header is layout_malformed" )	G-CPP	#876 had F7 GAP on all nine; closed on cpp at this head - see exception 1
cpp	F8	owed	owed	-	no ragged-tail case in test/tables/fixedform_*.cpp	-	
cpp	F9	owed	owed	-	no batch_too_large case at this head	-	
cpp	F10	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:1033	check( n < 0 && r.refused && r.reason == tblfu2::no_layout, ... ) with :1035 memcmp( &back, &poison, sizeof( back ) ) == 0	G-CPP	
cpp	F11	weak	weak	test/tables/fixedform_main.cpp:334	check( bad < 0 && r5.refused && r5.reason == tblfx1::layout_newer, ... ) - the tiny[1] plan case asserts layout_newer, NOT plan_too_large	G-CPP	the hash refusal fires first, so plan_too_large is unreachable on this path
cpp	F12	owed	owed	-	no case for a second layout under a held hash on any of the three legs	-	
cpp	E2	implemented-asserted	implemented-asserted	test/tables/fixedform_main.cpp:124	check( back.extra.x == 0 && back.extra.y == 0, "MISSING: a whole nested type takes its defaults" )	G-CPP	recast by §5.6; the NEW-READS-OLD half audited - see exception 3
