leg	item_id	status	evidence_path	assertion_or_counterexample	gate_run	lane_state	note
cs	L1-L7	weak	test/cs-tables/src/FixedFormChecks.cs:52	"SKIPPED: TestFixedLayoutValidation — §5.6 retires the run-time walk of a stranger's layout; §1.1's seven rules move to the LOCK's validation of what it records"	make tables-cs-leg -> "cs tables test passed" (5 skips)	merged-on-lane	the seven §1.1 layout refusals; the read-side walk is retired by §5.6, the seven names fire only under a known hash as layout_malformed (R9)
cs	F1	implemented-asserted	test/cs-tables/src/FixedFormChecks.cs:340	"Check(bad < 0 && r4.Refused && r4.Reason == row.want, row.what)" over previous_form / message_form_as_file / newer_form	make tables-cs-leg -> "cs tables test passed"	merged-on-lane	§2 step 2: form byte b[0]!=3 refuses by direction
cs	F2	owed	-	-	make tables-cs-leg -> "cs tables test passed"	merged-on-lane	§5.3 step 1: fewer than 20 bytes -> malformed; no running cs assertion (only the skipped layout-validation residue)
cs	F3	implemented-asserted	test/cs-tables/src/FixedFormChecks.cs:319	"Check(bad < 0 && r3.Refused && r3.Reason == "layout_malformed", "REFUSED BY NAME: layout_malformed")" (layout length exceeds buffer)	make tables-cs-leg -> "cs tables test passed"	merged-on-lane	§2 step 3: 20+L > bytes -> layout_malformed
cs	F4	implemented-asserted	internal/codegen/cstable/fixedversioning_test.go:622	"if (r.LayoutHash != 0) { bad += ProbeLog.Fail(@NAME@, "layout_hash is zero on every path but the two layout refusals (§5.9 #15)"); }"	make tables-cs-versioning -> "ok .../cstable 5.745s"	merged-on-lane	§5.3 step 4: header hash taken as given; identity selected by index, never recomputed
cs	F5	owed	-	-	make tables-cs-leg -> "cs tables test passed"	merged-on-lane	§2: layout appears once per carrier; no dedicated running cs assertion
cs	F6	weak	test/cs-tables/src/FixedFormChecks.cs:402	"Check(bad < 0 && rNoLayout.Refused && rNoLayout.Reason == "no_layout", ...)"	make tables-cs-leg -> "cs tables test passed" (skipped)	merged-on-lane	§5.3 step 11: per-record hash no_layout; assertion lives in TestFixedNegativeControlForwardRead, skipped by §5.6
cs	F7	owed	-	-	make tables-cs-leg -> "cs tables test passed"	merged-on-lane	§5.3 step 9: ragged tail rest%record_bytes!=0 -> malformed; not asserted running
cs	F8	owed	-	-	make tables-cs-leg -> "cs tables test passed"	merged-on-lane	§5.3 step 10: batch_too_large; runtime emits it (fixedform.go:1789) but no running cs assertion
cs	F9	implemented-asserted	internal/codegen/cstable/fixedversioning_test.go:618	"if (n < 1 || r.Refused || r.Malformed) { bad += ProbeLog.Fail(@NAME@, "the reader's OWN hash selects the identity plan: n=" + n ...); }"	make tables-cs-versioning -> "ok .../cstable 5.745s"	merged-on-lane	§4.2/§5.8 row 3: identity plan baked, no runtime compile (hash_identity probe)
cs	F10	implemented-asserted	internal/codegen/cstable/fixedversioning_test.go:585	"if (n != -1 || r.Reason != "layout_newer") { bad += ProbeLog.Fail(@NAME@, "a hash in no lineage entry owes layout_newer..."); }"	make tables-cs-versioning -> "ok .../cstable 5.745s"	merged-on-lane	§5.3 step 5: plan selected by hash against the lineage
cs	F11	implemented-asserted	internal/codegen/cstable/fixedversioning_test.go:102	"if (back[0].W != 77) { bad += ProbeLog.Fail(@NAME@, "the appended field is not its declared default: " + back[0].W); }"	make tables-cs-versioning -> "ok .../cstable 5.745s"	merged-on-lane	§4.3 prefill: appended field lands its declared default (field_append)
cs	F12	implemented-asserted	test/cs-tables/src/FixedFormChecks.cs:99	"Check(Run(2, 2u, new byte[] { 0x01, 0x01, 0xAA }) == 0, "ArgW: a two-byte tag 0x0101 whose low byte is 1 does NOT run arm 1");"	make tables-cs-leg -> "cs tables test passed"	merged-on-lane	§4.4 one run loop, guarded entries test the guard at its width
