# INVALID — QUARANTINED (issue #20, 2026-08-15). Evidence, never data.
# This candidate pass claims fix-branch runtimes with ZERO [build-verified] tags on its
# runtime commit lines (its candidate-O3 sibling carries five), and its rust read rows
# spread 62.25 and 44.35 — both over §2.3's 40% invalid threshold — with the rust read
# rates sitting at the pre-fix baseline shape. Same signature as the bad O3 candidate,
# which was caught only because its verdict column disagreed with the claimed branch.
# Provenance unverified + statistically invalid: no row in this file publishes, ever.
# Kept under results/invalid/ as evidence for the harness post-mortem, not as data.
# schema bench results
# date: 2026-08-14T20:20:35Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O2 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O2" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/candidate-worktrees/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O2 -DNDEBUG -DBENCH_OPT="O2" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/candidate-worktrees/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: candidate pass O2: all three fix branches; machine idle
# schema commit: d2a50ff
# serialize commit: 7fb154e (HEAD)
# serialize.c commit: 4871f4c (HEAD)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: ee5bd52 (HEAD)
# serialize.cs commit: d3d34c9 (main)
# rounds: 7   interleaved: yes
# langs: cpp c rust
# load_start: 2.61 2.92 2.46
# load_end: 3.29 3.28 2.95
# load_max: 5.02
# core_busy_pct: n/a
# foreign_procs: 8
# control_start_median: 98701288   control_end_median: 99966202
# control_delta_pct: 1.3   window: OK
# window: INVALID — quarantine verdict (issue #20): provenance unverified (zero build-verified tags) and rust read spreads 62.25/44.35 exceed §2.3's 40%; the OK on the line above records only that the two control legs agreed
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,55690151,46111374,56864486,5576.58,19.31,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_moving,read,24000000,105,7,85222532,69506171,87676157,8533.83,21.32,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,write,32000000,57,7,85527890,76175710,98943342,4649.25,26.62,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,read,32000000,57,7,135036220,92168830,136032877,7340.49,32.48,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,chat,write,48000000,13,7,78273047,59357593,78634297,970.41,24.63,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,read,48000000,13,7,131664576,112456105,132854979,1632.35,15.49,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,write,192000000,6,7,730503036,654723179,753845421,4179.97,13.57,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,read,192000000,6,7,1013420565,872391862,1025566152,5798.84,15.11,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,write,16000000,61,7,63769442,53198807,64146961,3709.73,17.17,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,read,16000000,61,7,44995678,39574055,45554174,2617.58,13.29,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,shipcreate,write,32000000,28,7,98351548,82566609,99035896,2626.27,16.75,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,shipcreate,read,32000000,28,7,112930747,82455836,113853174,3015.58,27.80,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,write,32000000,28,7,123497051,101176800,124601252,3297.73,18.97,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,read,32000000,28,7,121489691,103046472,122028534,3244.12,15.62,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,write,256000000,10,7,1020031905,934858730,1030908460,9727.78,9.42,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,read,256000000,10,7,1400010985,1237167958,1412309902,13351.55,12.51,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,write,128000000,26,7,182897130,151033881,185182328,4535.03,18.67,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,read,128000000,26,7,754648756,616051017,759141950,18711.92,18.96,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,write,20000000,47,7,72443885,58564260,73020239,3247.13,19.95,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,read,20000000,47,7,78043882,67323510,79671739,3498.14,15.82,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,testdata,write,8000000,92,7,26698052,18032780,26995175,2342.43,33.57,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
cpp,testdata,read,8000000,92,7,28997914,25728333,29207380,2544.22,12.00,6b118770d85af4f6,gen,hdr,removed,O2,partial:5
